index,title,random_sentence,url,categories
12,Grenoble olympique universitaire,"Le Grenoble olympique universitaire est un club omnisports français basé à Grenoble, disparu dans les années 1950.",fr.wikipedia.org/wiki/Grenoble_olympique_universitaire,"Catégorie:Article utilisant une Infobox, Catégorie:Club omnisports en France, Catégorie:Club sportif disparu au XXe siècle, Catégorie:Club sportif fondé en 1919, Catégorie:Club sportif à Grenoble, Catégorie:Portail:Auvergne-Rhône-Alpes/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Grenoble/Articles liés, Catégorie:Portail:Grenoble Métropole/Articles liés, Catégorie:Portail:Isère/Articles liés, Catégorie:Portail:Sport/Articles liés, Catégorie:Wikipédia:ébauche Isère, Catégorie:Wikipédia:ébauche sport"
13,Traité de Qasr-i-Chirin,Le traité de Qasr-i-Chirin ou traité de Zuhab est un traité signé le 17 mai 1639 entre l'Iran séfévide de Safi Ier et l'Empire ottoman de Murad IV.,fr.wikipedia.org/wiki/Trait%C3%A9_de_Qasr-i-Chirin,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Histoire de l'Azerbaïdjan, Catégorie:Histoire de l'Irak, Catégorie:Histoire de la Perse, Catégorie:Portail:Arménie/Articles liés, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Droit/Articles liés, Catégorie:Portail:Empire ottoman/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Iran et monde iranien/Articles liés, Catégorie:Portail:Moyen-Orient/Articles liés, Catégorie:Portail:Paix/Articles liés, Catégorie:Portail:Politique/Articles liés, Catégorie:Portail:Relations internationales/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Turquie/Articles liés, Catégorie:Traité de paix du XVIIe siècle, Catégorie:Traité de paix signé par l'Empire ottoman, Catégorie:Traité signé par l'Arménie, Catégorie:Traité signé par l'Iran, Catégorie:Wikipédia:ébauche droit"
14,Philosophie du sport,"En France, Pierre de Coubertin fut sans doute le premier et le plus important des théoriciens du sport.",fr.wikipedia.org/wiki/Philosophie_du_sport,"Catégorie:Article pouvant contenir un travail inédit, Catégorie:Article utilisant le modèle Dictionnaires inactif, Catégorie:Article à internationaliser, Catégorie:Article à référence nécessaire, Catégorie:Article à wikifier/Liste complète, Catégorie:Article à wikifier depuis mai 2023, Catégorie:Branche de la philosophie, Catégorie:Culture du sport, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la recherche, Catégorie:Page utilisant P3123, Catégorie:Page utilisant le modèle Autorité inactif, Catégorie:Portail:Philosophie/Articles liés, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Portail:Sport/Articles liés"
15,Dayr al-Qassi,(en) Cet article est partiellement ou en totalité issu de la page de Wikipédia en anglais intitulée « Dayr al-Qassi » (voir la liste des auteurs).,fr.wikipedia.org/wiki/Dayr_al-Qassi,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article géolocalisé sur Terre, Catégorie:Article utilisant l'infobox Localité, Catégorie:Article utilisant une Infobox, Catégorie:Localité conquise par Israël durant la guerre israélo-arabe de 1948, Catégorie:Page avec des cartes, Catégorie:Page géolocalisée par Wikidata, Catégorie:Page utilisant P1082, Catégorie:Page utilisant P17, Catégorie:Page utilisant P1705, Catégorie:Page utilisant P2044, Catégorie:Page utilisant P2046, Catégorie:Page utilisant P31, Catégorie:Page utilisant P576, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Conflit israélo-arabe/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Israël/Articles liés, Catégorie:Portail:Monde arabe/Articles liés, Catégorie:Portail:Moyen-Orient/Articles liés, Catégorie:Portail:Palestine/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Recension temporaire pour le modèle Ouvrage, Catégorie:Village disparu"
16,Rue Jacquemars-Giélée,"Située dans le quartier de Lille-Centre, la rue Jacquemars-Giélée relie le boulevard Vauban, au niveau du jardin Vauban, à la place de la République.",fr.wikipedia.org/wiki/Rue_Jacquemars-Gi%C3%A9l%C3%A9e,"Catégorie:Article géolocalisé en France, Catégorie:Article géolocalisé sur Terre, Catégorie:Article utilisant une Infobox, Catégorie:Lille-Centre, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Flandres/Articles liés, Catégorie:Portail:France/Articles liés, Catégorie:Portail:Hauts-de-France/Articles liés, Catégorie:Portail:Lille Métropole/Articles liés, Catégorie:Portail:Nord-Pas-de-Calais/Articles liés, Catégorie:Rue à Lille, Catégorie:Wikipédia:ébauche Lille, Catégorie:Wikipédia:ébauche architecture"
17,Musée historique de Francfort,"Une autre collection, donnée en 1845, comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.",fr.wikipedia.org/wiki/Mus%C3%A9e_historique_de_Francfort,"Catégorie:Article contenant un appel à traduction en allemand, Catégorie:Article géolocalisé en Allemagne, Catégorie:Article utilisant l'infobox Musée, Catégorie:Article utilisant une Infobox, Catégorie:Bâtiment à Francfort-sur-le-Main, Catégorie:Catégorie Commons avec lien local identique sur Wikidata, Catégorie:Musée d'une ville, Catégorie:Musée fondé en 1878, Catégorie:Musée à Francfort-sur-le-Main, Catégorie:Page avec coordonnées similaires sur Wikidata, Catégorie:Page avec des cartes, Catégorie:Page avec des données de géolocalisation non prises en charge, Catégorie:Page utilisant P154, Catégorie:Page utilisant P31, Catégorie:Portail:Allemagne/Articles liés, Catégorie:Portail:Culture/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Francfort-sur-le-Main/Articles liés, Catégorie:Portail:Hesse/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Musées/Articles liés, Catégorie:Portail:Tourisme/Articles liés"
18,Liste des composantes aériennes militaires,"Pour plus d'informations sur la taille des armées de l'air, voir la liste des pays selon la taille des forces armées.",fr.wikipedia.org/wiki/Liste_des_composantes_a%C3%A9riennes_militaires,"Catégorie:Armée de l'air, Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article contenant un appel à traduction en espagnol, Catégorie:Forces armées par pays, Catégorie:Liste en rapport avec le domaine militaire, Catégorie:Portail:Aéronautique/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Transports/Articles liés"
19,Dépannage hydraulique,"les techniques d'enlèvement de matière (usinage, tournage, fraisage, rectification, rodage, glaçage, grattage),",fr.wikipedia.org/wiki/D%C3%A9pannage_hydraulique,"Catégorie:Hydromécanique, Catégorie:Maintenance (science), Catégorie:Maintenance mécanique, Catégorie:Portail:Génie mécanique/Articles liés, Catégorie:Portail:Industrie/Articles liés, Catégorie:Portail:Physique/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Portail:Économie/Articles liés"
20,Syndrome des urines violettes,"La décoloration violette du sac d'urine est souvent la seule constatation, fréquemment notée par les soignants.",fr.wikipedia.org/wiki/Syndrome_des_urines_violettes,"Catégorie:Article orphelin/Liste complète, Catégorie:Article utilisant une Infobox, Catégorie:Image locale sans image sur Wikidata, Catégorie:Maladie en urologie, Catégorie:Page utilisant P828, Catégorie:Portail:Biologie/Articles liés, Catégorie:Portail:Médecine/Articles liés, Catégorie:Portail:Sciences/Articles liés, Catégorie:Projet:Médecine/Infobox Maladie dont l'image est à vérifier, Catégorie:Syndrome, Catégorie:Urine, Catégorie:Wikipédia:Tentative d'adoption en janvier 2023"
21,Trampoline aux Jeux mondiaux de 2017,Les épreuves de trampoline des Jeux mondiaux de 2017 ont lieu du 24 juillet au 26 juillet 2017 à Wrocław.,fr.wikipedia.org/wiki/Trampoline_aux_Jeux_mondiaux_de_2017,"Catégorie:Article contenant un appel à traduction en anglais, Catégorie:Article contenant un appel à traduction en néerlandais, Catégorie:Article utilisant une Infobox, Catégorie:Jeux mondiaux de 2017, Catégorie:Portail:Années 2010/Articles liés, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Pologne/Articles liés, Catégorie:Portail:XXIe siècle/Articles liés, Catégorie:Portail:Époque contemporaine/Articles liés, Catégorie:Trampoline aux Jeux mondiaux, Catégorie:Wikipédia:ébauche Pologne, Catégorie:Wikipédia:ébauche sport"
23,Liste des districts de Florianópolis,"Liste des districts de la municipalité de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.",fr.wikipedia.org/wiki/Liste_des_districts_de_Florian%C3%B3polis,"Catégorie:District à Florianópolis, Catégorie:Liste en rapport avec le Brésil, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Sud/Articles liés, Catégorie:Portail:Brésil/Articles liés, Catégorie:Portail:Florianópolis/Articles liés, Catégorie:Portail:Géographie/Articles liés, Catégorie:Portail:Lusophonie/Articles liés, Catégorie:Portail:Santa Catarina/Articles liés, Catégorie:Wikipédia:ébauche géographie"
24,Yaminahua,Portail des langues   Portail de l’Amérique précolombienne   Portail du Pérou   Portail du Brésil   Portail de la Bolivie,fr.wikipedia.org/wiki/Yaminahua,"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Inventaire de langues amérindiennes, Catégorie:Langue amérindienne au Brésil, Catégorie:Langue amérindienne au Pérou, Catégorie:Langue amérindienne en Amérique du Sud, Catégorie:Langue amérindienne en Bolivie, Catégorie:Langue panoane, Catégorie:Langue vulnérable, Catégorie:Portail:Amérique/Articles liés, Catégorie:Portail:Amérique du Sud/Articles liés, Catégorie:Portail:Amérique précolombienne/Articles liés, Catégorie:Portail:Bolivie/Articles liés, Catégorie:Portail:Brésil/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Lusophonie/Articles liés, Catégorie:Portail:Monde antique/Articles liés, Catégorie:Portail:Pérou/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche langue"
25,1768 en arts plastiques,"18 août : Giovanni Domenico Ferretti, peintre italien de l'école florentine de la période rococo (° 15 juin 1692),",fr.wikipedia.org/wiki/1768_en_arts_plastiques,"Catégorie:1768, Catégorie:Article avec une section vide ou incomplète, Catégorie:Article utilisant une Infobox, Catégorie:Catégorie Commons avec lien local différent sur Wikidata, Catégorie:Chronologie des arts plastiques, Catégorie:Portail:Années 1760/Articles liés, Catégorie:Portail:Arts/Articles liés, Catégorie:Portail:Histoire/Articles liés, Catégorie:Portail:Histoire de l'art/Articles liés, Catégorie:Portail:XVIIIe siècle/Articles liés, Catégorie:Portail:Époque moderne/Articles liés, Catégorie:Wikipédia:ébauche art, Catégorie:Wikipédia:ébauche chronologie"
26,François Walter (historien),"Atlas historique de la Suisse avec Marco Zanoli, Neuchâtel, Éditions Alphil - Presses universitaires suisses, 2020.",fr.wikipedia.org/wiki/Fran%C3%A7ois_Walter_(historien),"Catégorie:Article de Wikipédia avec notice d'autorité, Catégorie:Article utilisant l'infobox Biographie2, Catégorie:Article utilisant l'infobox Biographie2 avec la charte histoire, Catégorie:Article utilisant une Infobox, Catégorie:Docteur honoris causa de l'université Grenoble II, Catégorie:Historien suisse du XXIe siècle, Catégorie:Historien suisse du XXe siècle, Catégorie:Naissance en avril 1950, Catégorie:Page pointant vers des bases externes, Catégorie:Page pointant vers des bases relatives à la recherche, Catégorie:Page pointant vers des bases relatives à plusieurs domaines, Catégorie:Page pointant vers des dictionnaires ou encyclopédies généralistes, Catégorie:Page utilisant P106, Catégorie:Page utilisant P10780, Catégorie:Page utilisant P108, Catégorie:Page utilisant P27, Catégorie:Page utilisant P2732, Catégorie:Page utilisant P569, Catégorie:Page utilisant P6231, Catégorie:Page utilisant P69, Catégorie:Page utilisant P7902, Catégorie:Portail:Biographie/Articles liés/Culture et arts, Catégorie:Portail:Europe/Articles liés, Catégorie:Portail:Historiographie/Articles liés, Catégorie:Portail:Suisse/Articles liés, Catégorie:Professeur à l'université de Genève, Catégorie:Wikipédia:Article biographique, Catégorie:Wikipédia:ébauche histoire, Catégorie:Étudiant de l'université de Fribourg"
27,Massey Ferguson 148,"Le Massey Ferguson 148 est un tracteur agricole produit de 1972 à 1976 par le constructeur américain de matériels agricoles, Massey Ferguson.",fr.wikipedia.org/wiki/Massey_Ferguson_148,"Catégorie:Article avec une section vide ou incomplète, Catégorie:Portail:Agriculture et agronomie/Articles liés, Catégorie:Portail:Biologie/Articles liés, Catégorie:Projet:Biologie/Pages liées, Catégorie:Tracteur agricole Massey Ferguson, Catégorie:Wikipédia:ébauche agriculture"
28,Platine à mèche,À la platine est fixée une pièce en « S » appelée serpentin ou serpentine sur laquelle on fixe la mèche allumée.,fr.wikipedia.org/wiki/Platine_%C3%A0_m%C3%A8che,"Catégorie:Arme à feu, Catégorie:Portail:Armes/Articles liés, Catégorie:Portail:Histoire militaire/Articles liés, Catégorie:Portail:Technologies/Articles liés, Catégorie:Wikipédia:ébauche arme, Catégorie:Wikipédia:ébauche histoire, Catégorie:Équipement militaire de l'époque moderne"
29,Sociologisme,"Raymond Boudon, La logique du social : introduction à l'analyse sociologique, Paris, Hachette, 2009, 309 p.",fr.wikipedia.org/wiki/Sociologisme,"Catégorie:Concept sociologique, Catégorie:Portail:Sciences humaines et sociales/Articles liés, Catégorie:Portail:Sociologie/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Wikipédia:ébauche sociologie"
30,Sky lobby,"Ce n'est pas un sky lobby, car les résidents peuvent également prendre des ascenseurs vers des étages supérieurs au 44e étage.",fr.wikipedia.org/wiki/Sky_lobby,"Catégorie:Article contenant un lien mort, Catégorie:Article manquant de références/Liste complète, Catégorie:Article manquant de références depuis juin 2023, Catégorie:Ascenseur, Catégorie:Portail:Architecture et urbanisme/Articles liés, Catégorie:Salle, Catégorie:Wikipédia:ébauche architecture"
31,Betawi (langue),"Par cet effet, le /ə/ est renforcé en betawi et n'est plus un simple schwa muet comme en malais standard.",fr.wikipedia.org/wiki/Betawi_(langue),"Catégorie:Article utilisant une Infobox, Catégorie:Article à illustrer Langue, Catégorie:Inventaire de langues, Catégorie:Langue malaise (famille de langues), Catégorie:Langue à Java, Catégorie:Portail:Asie/Articles liés, Catégorie:Portail:Indonésie/Articles liés, Catégorie:Portail:Langues/Articles liés, Catégorie:Portail:Langues/Articles liés directement, Catégorie:Portail:Langues créoles et créolophonie/Articles liés, Catégorie:Portail:Société/Articles liés, Catégorie:Projet:Asie du Sud-Est/Articles liés, Catégorie:Wikipédia:ébauche langue"
