ID,pair_id,sentence,MOS
18,18,"Divers problèmes peuvent être évalués à l'aide de cette échelle comme des problèmes cognitifs, d'opposition, d'hyperactivité, anxieux et sociaux présents chez les enfants ainsi que les adolescents.",2.6
19,19,"Ainsi, en chimie non macromoléculaire, un macrocycle est une molécule organique avec une grande structure cyclique, habituellement contenant au moins 15 atomes.",2.8
20,20,"Dans l'importante biographie que lui consacre Philip Marchand en 1989, Neil Postman rappelle toutefois le pouvoir heuristique des hypothèses de McLuhan.",3.6
21,21,C'est un diagramme en 2D dont l'axe x correspond à la position d'un point dans la liste ordonnée et  l'axe y la reachability-distance associée à ce point.,4.2
22,22,"Le Conseil d'administration est composé de 9 à 15 personnes, en activité dans un établissement ayant vocation à adhérer, élues par l'assemblée générale.",4.0
23,23,"Le mot, d'origine obscure (Jean-Henri Hassenfratz l'associe au mot « macération ») groupe un grand nombre de procédés développés indépendamment.",1.8
24,24,L'EDA exprime les priorités de l'industrie de transformation du lait au niveau de l'UE et tente d'influencer les stratégies européennes par du lobbying.,4.0
25,25,Cette valeur locative est ensuite diminuée d’un abattement de 50 % pour la TFPB et de 20 % pour la TFNB de manière à obtenir le revenu cadastral servant à l’imposition.,3.4
26,26,"Ces deux hommes que la vision de l’art sépare, Mondrian promoteur de l’art abstrait et Eekman violemment contre, resteront liés par une amitié indéfectible tout au long de leur vie.",3.4
27,27,"Issue de la haute société athénienne, elle se déguisa en homme pour suivre les cours de médecine du célèbre médecin Hérophile.",2.2
28,28,"L'anuscopie est un examen médical faisant partie de l'examen proctologique, qui comprend également le toucher rectal et la rectoscopie.",2.8
29,29,"Elle encourage ses membres, appelés Chevaliers, à œuvrer pour la défense de la Cité par la devise : Honneur et Courtoisie.",2.6
30,30,"En mai 2016, ce nombre a été porté à un billion (mille milliards) d'espèces estimées sur Terre avec seulement un millième de pour cent décrit.",2.8
31,31,"L'exemple ci-dessous montre que, même si le résultat obtenu est satisfaisant, certaines couleurs s'affaiblissent entre leur représentation en rouge-vert-bleu à l'écran et leur production quadrichromique.",3.6
32,32,"De nos jours, la plaine de la Messara est communément appelée le « verger de la Crète », de nombreux exploitations agricoles profitant de son sol fertile.",3.0
33,33,"Fondé le 17 mars 1872 par décision du Reichstag, il s'agit du deuxième institut archéologique étranger d'Athènes à l'être après l'école française d’Athènes, établie en 1846.",3.8
34,34,"Le traceur choisi ne doit pas modifier les propriétés physiques du milieu (même densité, même viscosité) et l'introduction du traceur ne doit pas modifier les conditions hydrodynamiques.",2.8
35,35,"L'art devint autonome en 1677, mais ce nouveau statut comporta une taxation plus élevée que lorsqu'ils furent unis aux marzeri.",3.8
36,36,"Sa diffusion est freinée par la guerre de Trente Ans, mais la culture du tabac se répand et réussit surtout dans la partie méridionale du département du Haut-Rhin.",3.0
37,37,"L’alutiiq, aussi appelé yupik du Golfe Pacifique ou sugpiaq, est une des langues yupik, de la famille des langues eskimo-aléoutes, parlée traditionnellement par les Alutiiq.",4.6
38,38,"La Patinoire olympique de Gjøvik est une salle de sport située à Gjøvik, en Norvège, construite à l'occasion des Jeux olympiques d'hiver de 1994.",2.6
39,39,"Un monument ou site historique est déclaré comme « monument culturel national » (en slovaque : národná kultúrna pamiatka, abrégé en NKP).",2.75
40,40,"Dans le nord, la côte du golfe, également appelée la Divina Costiera en raison de sa beauté, est accidentée par les versants rocheux des monts Lattari qui tombent dans la mer.",3.0
41,41,"Le semis direct sans labour est aujourd’hui largement utilisé pour le maïs et le soja aux États-Unis, mais aussi au Brésil, en Argentine, au Canada, en Australie.",2.8
42,42,"Sculpture monumentale en béton créée en 1966, il s'agit d'un monument à la mémoire des victimes du camp d'extermination de Jasenovac, en Croatie.",2.0
43,43,"Certaines des premières usines d'épuration vivantes ont été utilisées pour traiter les eaux usées domestiques dans de petits villages soucieux de l'environnement, tels que Findhorn Community en Écosse.",3.2
44,44,"En effet, le nombre de postes à pourvoir dans le secteur a augmenté rapidement et de plus en plus de femmes sont entrées dans la vie active.",2.2
45,45,C'est la première grande académie d'art où le peintre espagnol Antonio Fabrés a enseigné et aussi le premier musée d'art des Amériques.,3.75
46,46,"Howard, Mackie a été étroitement associé à la croissance de Calgary, ville devenue un véritable centre d'affaires international.",2.8
47,47,Ce type de logiciel permet à l’utilisateur de se déplacer librement autour du globe en changeant la position et l’angle de vue.,3.0
48,48,"Cette discipline est une synthèse des domaines des sciences naturelles (botanique, pédologie, agronomie) avec les techniques de chantier.",2.2
49,49,Le rez-de-chaussée est alloué à des fins militaires et le public n'a seulement accès qu'au sous-sol où un débit de boisson sert de l'alcool.,3.6
50,50,"Le record est de 17135 et fut établi le 31 janvier 2015, lors de la rencontre opposant Antwerp Giants face au Spirou Basket.",2.4
51,51,"Selon les auteurs Sue Farran, James Gallen et Christa Rautenbach, le droit autrichien est la source d'inspiration principale du nouveau code civil tchèque.",1.4
52,52,"Elle aurait fonctionné du Ier au VIe siècle, date à laquelle elle a été détruite lors d'une attaque de la ville par des tribus locales.",2.0
53,53,"Le film a été réalisé par Jonas Åkerlund, connu pour être l'auteur de vidéo-clips musicaux, d'annonces publicitaires et du long métrage Spun.",2.8
54,54,"Pour que l’entretien en face à face soit réalisé dans les meilleures conditions possibles, il faut qu’il réponde à certaines conditions.",2.6
55,55,"Il a également écrit l'une des trois premières symphonies lettristes : la Symphonie en K, « première polyphonie ciselante»,, datée de 1947.",2.4
56,56,"Une grande fête est organisée à l'occasion du Nouvel An, chaque année des feux d'artifice et des concerts sont donnés sur la place adjacente.",2.2
57,57,"Découverte en 1892 par Carl Anton Larsen à bord du Jason, elle a été nommée en l'honneur d'Oscar II, roi de Suède de 1872 à 1907 et de Norvège de 1872 à 1905.",4.4
58,58,Le premier compilateur auto-hébergé (si l'on exclut les assembleurs) a été écrit pour le Lisp par Hart et Levin au Massachusetts Institute of Technology (MIT) en 1962.,3.0
59,59,"La liste suivante n'inclut pas les plus petits objets comme les ressorts, les fragments, les parachutes ou les boucliers thermiques.",1.0
60,60,"En fiabilité, le schéma fonctionnel permet de représenter les systèmes complexes, c'est-à-dire ayant plusieurs possibilités de défaillance.",2.4
61,61,"L'utilisateur étant à l'origine du besoin en information, il est apparu nécessaire de compléter la simple requête par des informations supplémentaires en provenance de l'utilisateur.",3.0
62,62,Les Jeux du Val-de-Marne sont une compétition omnisports créée en 1967 par le Conseil général et qui se déroule chaque année dans le département du Val-de-Marne.,2.8
63,63,"Le peba est une langue amérindienne de la famille des langues peba-yaguanes parlée en Amazonie péruvienne, dans la région de Loreto.",2.8
64,64,Un capteur plan est un appareil qui permet d'obtenir instantanément une image radiologique numérique lors de la prise d'une radiographie.,3.0
65,65,L’isométrataxie est l'incapacité à maintenir une force musculaire constante durant une performance manuelle comme la préhension.,3.0
66,66,L'artiste dadaïste Max Ernst a peint des courbes de Lissajous directement en suspendant un pot de peinture percé au-dessus du canevas.,2.2
67,67,"En effet, les processus biologiques exacts qui se produisent sont inconnus, même 50 ans après sa découverte, mais de nombreuses études présentent des théories sur les mécanismes du lupus médicamenteux.",2.8
68,68,"Certaines configurations de l'environnement (par exemple, une falaise au-dessus de la mer) peuvent provoquer des situations dangereuses (par exemple le fait de se trouver en hauteur au-dessus de la mer).",1.3333333333333333
69,69,"Néanmoins, l’effet de la fréquence de commutation sur les valeurs des éléments de filtrage n’a pas été évoqué dans son travail.",3.4
70,70,Un moteur de workflow est un dispositif logiciel permettant d'exécuter des instances de workflow (l'enchaînement des activités décrit par la définition de processus de workflow).,4.4
71,71,"Un exemple typique est la représentation de cartes à jouer ordinaires : la suite (""couleur"") ainsi que la hauteur (nombre ou figure) de la carte peuvent être représentés par des énumérations.",3.0
72,72,"Dans le champ de l'écologie, le terme « basophile » désigne des organismes qui se développent exclusivement dans un environnement qui contient des substances qui lui confèrent une certaine alcalinité.",4.6
73,73,"Au niveau mondial, il existe de nombreux logiciels d’envoi de masse de courrier électronique et de gestion de la relation client B2C, dont Brevo, Klaviyo, Sarbacane, Mailchimp, etc.",2.6
74,74,"Le congrès des États-Unis vote le Semiconductor Chip Protection Act, une loi qui protège juridiquement les schémas électroniques.",2.0
75,75,"Mais en réalité, le Parfait Pêcheur à la ligne, tout comme le Voyage du pèlerin, cherche avant tout à guider l'individu au sens large plutôt que le simple amateur de pêche.",3.6
76,76,"Certains biologistes, tels Hugo de Vries, suggèrent de contrôler et de diriger les mécanismes de l'évolution en laboratoire pour créer de nouvelles formes de vie présentant des propriétés nouvelles.",3.4
77,77,"Une commercialisation efficace implique l’apprentissage de nouvelles compétences, de nouvelles techniques et de nouveaux modes d’obtention de l’information.",2.4
78,78,"Straight-through processing (STP) est un principe de traitement des opérations au fil de l'eau, c'est-à-dire sans rupture ou sans délai (littéralement : ""traitement tout droit à travers"").",3.4
79,79,"Le premier se fait aux États-Unis (1935-1936), durant lequel, en tant que Rockefeller Fellow, il enseigne dans les différentes universités que sont Harvard, Northwestern, Chicago et Berkeley.",3.25
80,80,"Carlo Cattaneo (1911-1979) est un mathématicien et physicien italien connu pour ses travaux en physique statistique, en mécanique des milieux continus et en relativité générale.",1.2
81,81,"Il agit en bloquant les récepteurs de cette dernière, ce qui diminue la LH et arrête donc l'ovulation jusqu'à ce qu'elle soit souhaitée.",2.6
82,82,"Avec ""Voxeurop services"", le journal étend ses activités éditoriales en proposant des services éditoriaux sur-mesure et une traduction multilingue vers toutes les langues européennes.",2.8
83,83,"Elle représente un obélisque renversé, dont le sommet repose sur un piédestal pyramidal et dont le pied, pointé vers le haut, est brisé.",2.333333333333333
84,84,"Elle a remplacé la chambre des comptes de la Cour suprême, qui a été dissoute en 1998 et dont sont également issus la Cour de cassation et le Conseil d'État.",3.4
85,85,"L’Employment Act de 1990 a aboli strictement le closed shop, jugé attentatoire à la liberté de ne pas se syndiquer, garantie par la Charte sociale européenne.",2.4
86,86,"Le compartiment réacteur mesure quant à lui 38 pieds de long (soit environ 11,5 mètres), 42 pieds de profondeur (soit environ 12,8 mètres), 37 de large (soit environ 11,3 mètres) et pèse 2 250 tonnes.",3.5
87,87,"De même, on appelle aussi de petits boutons qui viennent sur le visage, des chaleurs de soie, parce qu’elles viennent d'un sang échauffé : c'est l'éruption miliaire chez les bébés.",3.2
88,88,La dénomination est souvent employée en lieu et place de independent press(es) ou indie press(es) (« éditeur indépendant »).,3.4
89,89,"La CBM est identifiée en déterminant la concentration la plus faible d'agent antibactérien qui réduit la viabilité de l'inoculum bactérien initial à un niveau supérieur ou égal à 99,9%.",3.6666666666666665
90,90,"Le district de Riaba (en espagnol : distrito de Riaba) est un district de Guinée équatoriale, constitué par la partie orientale de la province de Bioko-Sur, sur l'île de Bioko.",4.0
91,91,"L'ethnolinguistique selon ce premier paradigme vise à décrire, définir des typologies permettant de classer et de comparer les différentes langues.",2.6
92,92,"Cette page indique la filmographie complète de Sylvester Stallone, aussi bien au cinéma qu'à la télévision puis à la fois comme acteur, réalisateur, producteur et scénariste.",3.4
93,93,"Purement imaginaires, elles n'en sont pas moins indispensables pour l'étude de notre « banlieue galactique » la plus proche, jusqu'à 20 années lumière environ.",3.4
94,94,"Il n'existe plus aujourd'hui en tant qu'entité politique indépendante, mais seulement comme chefferie traditionnelle en relation avec les autorités administratives tchadiennes modernes.",4.0
95,95,Une médaille d'argent est une récompense attribuée aux sportifs qui obtiennent la deuxième place dans certaines grandes compétitions.,1.8
96,96,"Dès la fin de l'exposition, le comité d'organisation décide d'acquérir une partie des œuvres afin de réunir les collections du futur musée de l'école de Nancy, qui n'ouvrira finalement que 70 ans plus tard.",2.2
97,97,"Par contre, ce test n'élimine pas la possibilité d'une perte auditive légère par exemple, qui pourrait tout de même avoir un impact sur le développement du langage de l'enfant.",2.4
98,98,"Malgré son côté sérieux, elle a une brève liaison avec un Américain, Bruce, alors qu'elle est officiellement en couple avec Alistair.",3.6666666666666665
99,99,"La scène a également été reconstruite, ce qui a contribué à l’augmentation de la capacité d’accueil et a permis un accès plus rapide pour les équipes de scène.",3.0
100,100,"La phase d'infection est bien évidemment toujours la première, mais l'enchaînement de ces phases n'est pas toujours linéaire, et dépend de la conception du botnet.",2.8
101,101,Bamford est une biologiste britannique du début du XXe siècle qui a publié de nombreux articles sur les cnidaires et qui est à l'origine de la découverte de nombreuses nouvelles espèces.,5.333333333333333
102,102,"La Société d’éclairage électrique de Bordeaux, qui avait la plus grosse concession d’éclairage et devint le principal client du barrage, a tiré les conséquences de cette nouvelle opportunité.",2.4
103,103,"La cinémathèque de Grenoble organise, dans sa petite salle de projection, tous les jeudis et vendredis, des « petites formes », pour prolonger au cours de l'année la mise en lumière du court métrage.",2.8
104,104,"Cet ordinateur, baptisé « PowerBop », ne sera construit qu'à quelques centaines d'exemplaires et ne rencontrera aucun succès commercial et sera abandonné rapidement fin 1994.",3.0
105,105,"L’air refroidi, et débarrassé d’une partie de son humidité, traverse alors la seconde partie du système qui le réchauffe jusqu’à atteindre une température généralement un peu plus élevée qu'à l’entrée.",3.6
106,106,"Les ingénieurs de Fairchild semiconductor, basés à Mountain View (Californie), ne voyaient les cadres de la Direction, à Syosset (New York), qu'une fois par an, et s'estimaient insuffisamment gratifiés.",4.2
107,107,Ferdinand von Wright (né le 19 mars 1822 à Kuopion maalaiskunta et mort le 31 juillet 1906 à Kuopion maalaiskunta) est un peintre naturaliste finlandais suédophone.,2.6
108,108,"Au moment de sa précipitation, la calcite (ou l'aragonite) formant les spéléothèmes ne contient en principe pas de thorium.",3.8
109,109,Le portrait d'Adeline Ravoux est une peinture de l'artiste-peintre postimpressionniste hollandais Vincent Van Gogh réalisée en 1890.,3.4
110,110,"Ils se rattachent lors de cette année anniversaire, à une série d’événements d’ordre culturel autour du béton, dont le plus emblématique est le lancement de la campagne de restauration de la Tour Perret.",4.6
111,111,L'eau dans laquelle on a fait bouillir des rafles de maïs contient des épaississants et peut être ajoutée à du potage ou transformée en gelée de maïs sucrée traditionnelle.,2.4
112,112,"La richesse de la région provenait probablement de matériaux précieux extraits des montagnes voisines, en particulier du lapis lazuli de Badakshan, qui étaient largement commercialisés.",3.0
113,113,Le white sponge nævus ou white sponge nevus (WSN) est une pathologie rare des muqueuses de la bouche (parfois atteinte plus rare encore des sites vaginaux et rectaux) transmissible de façon autosomique dominante.,4.8
114,114,"Le SSSE3 ajoute 16 nouveaux opcodes qui incluent la permutation des octets dans un mot, la multiplication des nombres à virgule fixe 16 bits avec un arrondissement correct et des instructions d'accumulation dans un mot.",4.2
115,115,"Cette situation dite de Hill (théorie de la Lune), de Mathieu (balancelle) ou de Bloch (électron dans un métal) est fréquemment utilisée en optique, comme convertisseur de fréquences.",4.4
116,116,"Les sièges sont tous de couleur bleu clair avec un petit nombre de sièges de couleur blanche placés dans la tribune Est pour former le mot ""Alep"" en arabe et en anglais.",3.2
117,117,"Le passeport portugais (en portugais : passaporte português) est un document de voyage international délivré aux ressortissants portugais, et qui peut aussi servir de preuve de la citoyenneté portugaise.",2.0
118,118,Il consiste en une salle de prière entièrement sous un dôme à laquelle on accède par un long couloir sombre en chicane menant à un grand portail.,4.6
119,119,"Le journalisme d'affaires, bien que courant dans la plupart des pays industrialisés, joue un rôle très limité dans les pays du tiers-monde et en développement.",3.0
120,120,Le boîtier rectangulaire (en plastique ou en céramique) est doté de broches de connexion sur ses 4 côtés (jusqu'à 200 broches).,3.4
121,121,"Les murailles de la ville ont été construits par les Aldobrandeschi au début du XIIIe siècle, époque à laquelle la forteresse aldobrandesque a également été construite.",3.2
122,122,"Par « corps de métier » ou « corps d'état », voire « corps du bâtiment », on désigne l'activité professionnelle dans le secteur du bâtiment.",3.4
123,123,"TX-0, pour Transistorized Experimental computer zero, surnommé affectueusement « Tixo », est le premier ordinateur terminal informatique à transistors.",3.6
124,124,"Lors des troubles de 2008 en Bolivie, une manifestation de paysans favorables au président Evo Morales est prise dans une embuscade tendue par des hommes armés à proximité de Cobija.",2.25
125,125,Le syndicalisme d'entreprise est une manière d'organiser les travailleurs syndiqués d'un champ professionnel et géographique.,2.6
126,126,"Le terme blueprint désigne, en anglais, une reproduction d'un plan détaillé, ce que l'on appelle en dessin technique un dessin de définition.",3.0
127,127,"Son évolution temporelle (par rapport à une base 2010) a la forme d'une courbe irrégulière en fortes ""dents de scie"", qui en moyenne décroit régulièrement de 1950 à 2015.",3.8
128,128,"Dans ses fameux quatrains, il s'indigne que Dieu semble par ses textes religieux donner à l'homme des ordres tout en implantant en lui des désirs qui sont autant d'ordres contraires.",3.4
129,129,Dunkerque 2013 ou Dunkerque Capitale régionale de la culture 2013 est le nom de l'ensemble des festivités culturelles qui se déroulent à Dunkerque et dans son agglomération au cours de l'année 2013.,3.6
130,130,"Les procédures de synchronisation étant fondées sur la vitesse de la lumière, invariante par changement de référentiel inertiel, elles ne dépendent pas du référentiel choisi.",4.8
131,131,Le powiat d'Olesno (en polonais powiat oleski) est un powiat appartenant à la Voïvodie d'Opole dans le sud-ouest de la Pologne.,4.6
132,132,"Sa femme, Dame Zhurong, était elle aussi une guerrière émérite dont l'arme de prédilection était une sorte de boomerang à lames.",3.2
133,133,"Ils se sont rencontrés chez Denise René, et Fruhtrunk s'inspire des sculptures monumentales de Di Teana pour créer sa création picturale de constructivisme, et il en fait un univers pictural rythmique et coloré.",4.6
134,134,Conrad Felixmüller poursuit d'abord des études de musique (1911) avant d'étudier à l'Académie des Beaux-Arts de Dresde à l'automne 1912.,2.333333333333333
135,135,Un filtre coupe-bande aussi appelé filtre réjecteur de bande ou filtre cloche est  un filtre empêchant le passage d'une partie des fréquences.,3.0
136,136,Seule l'utilisation de lumière laser résonante permet de cumuler l'effet d'un cycle de fluorescence (absorption/émission spontanée) et d'utiliser efficacement ce phénomène pour agir sur un atome.,4.4
137,137,"Utrinski Vesnik (en macédonien Утрински Весник, ce qui signifie « journal du matin ») est un quotidien de la Macédoine du Nord.",2.4
138,138,Lorsque l'agence spatiale européenne prend le relais de l'ESRO en 1975 elle hérite d'un satellite encore en activité (HEOS-1) et de plusieurs programmes en cours de développement.,3.0
139,139,Une question ouverte est une interrogation qui n'induit pas de réponses préétablies et qui laisse donc à son interlocuteur la possibilité de s'exprimer avec ses propres mots.,3.4
140,140,Ce type de sonde présente pour avantage de ne pas être sensible aux grands angles d'incidence (2 % jusqu'à 40° d'incidence environ).,3.2
141,141,"Dans l'argot DJ, un break est un passage où tous les éléments musicaux (voix, basses, etc.), à l'exception des percussions, disparaissent.",1.0
142,142,"Le salarié suspendu n'accède plus à son lieu et moyens de travail, n'effectue plus les tâches prévues, et ne perçoit plus de salaire.",2.6
143,143,"Ce texte resta en vigueur huit ans, jusqu'à ce que lui soit substitué la Constitution de 1845, de tendance modérée et conservatrice, sous l'impulsion du général Narváez.",2.8
144,144,"La Quadratura dei Pisani a été construite vers 1377, même si certains historiens la font remonter à la construction des murailles du château de Livourne (1392).",2.8
145,145,"Takamatsu a utilisé la photographie, la sculpture, la peinture, le dessin et la performance pour créer des recherches fondamentales sur les origines philosophiques et matérielles de l'art.",3.0
146,146,L'Union internationale du cinéma (abrégé en UNICA) est une association représentée à l'UNESCO et dont le but est la promotion du cinéma et de ses auteurs à travers le monde.,2.333333333333333
147,147,Il vise à la mise en place de systèmes de certification et des projets visant à la lutte contre la pauvreté dans les pays producteurs de bois tropicaux.,2.8
148,148,"Autour des années de la Première Guerre mondiale, la maison se fait remarquer dans la presse par ses créations très colorées ; elle est également considérée comme un des maitres du style Gréco-romain de la mode depuis quelques années.",3.6
149,149,"En 2011, Google annonce le rachat de Zagat qui l'intègre à Google + Local à partir d'avril 2012, le rendant ainsi disponible gratuitement.",2.8
150,150,Il doit sa place aux textes qu’il a illustrés qui sont des écrits importants mais peu diffusés et ignorés par les autres miniaturistes.,2.6
151,151,Ils se sont progressivement transformés en créateurs de tendances pour les grands noms de la distribution internationale.,3.6
152,152,La Cour nationale de la tarification sanitaire et sociale est présidée par le président de la section sociale du Conseil d'État.,2.0
153,153,"Au Pérou, le district de Yauri est l’un des huit districts de la province d'Espinar située dans le département de Cusco.",2.0
154,154,"Ce défilé est franco-belge ; de nos jours, il commence en Belgique et se termine sur la place de Comines en France.",3.0
155,155,"Pour faire face à cette nouvelle situation, les HSB postent des sauveteurs équipés de doris à avirons dans les endroits critiques.",2.0
156,156,"On a d'abord une maison à colombages, remplacée vers 1200 par un bâtiment en pierre auquel on adjoint une haute façade au milieu du XIVe siècle.",4.2
157,157,"Après cinq années les routes de Stanley et de Léopold II se séparent de manière officielle, cependant Stanley demeure secrètement à la solde du roi.",2.8
158,158,"Le Grenoble olympique universitaire est un club omnisports français basé à Grenoble, disparu dans les années 1950.",1.8
159,159,"En France, Pierre de Coubertin fut sans doute le premier et le plus important des théoriciens du sport.",1.6
160,160,"Une autre collection, donnée en 1845, comprend plus de 200 tableaux de peintres locaux et hollandais des XVIIIe et XIXe siècles.",3.5
161,161,"La décoloration violette du sac d'urine est souvent la seule constatation, fréquemment notée par les soignants.",3.2
162,162,Les épreuves de trampoline des Jeux mondiaux de 2017 ont lieu du 24 juillet au 26 juillet 2017 à Wrocław.,2.8
163,163,"Liste des districts de la municipalité de Florianópolis, capitale de l'État de Santa Catarina, au Brésil.",3.0
164,164,"Le Massey Ferguson 148 est un tracteur agricole produit de 1972 à 1976 par le constructeur américain de matériels agricoles, Massey Ferguson.",4.333333333333333
165,165,À la platine est fixée une pièce en « S » appelée serpentin ou serpentine sur laquelle on fixe la mèche allumée.,1.8
166,166,"Ce n'est pas un sky lobby, car les résidents peuvent également prendre des ascenseurs vers des étages supérieurs au 44e étage.",2.4
167,167,L'avance d'argent est un montant payé par une partie à une autre avant tout commencement d'exécution d'une convention écrite ou verbale.,4.0
168,168,"Plus précisément, les philosophies bouddhistes ne perdent jamais de vue les préoccupations sotériologiques.",4.333333333333333
169,169,"Une grande partie de la voie antique est toujours praticable et accessible, le plus souvent recouverte d'asphalte.",1.8
170,170,"En conséquence directe, la propriété est transmise de génération en génération, et dans l'ensemble, reste en grande partie non divisée.",2.8
171,171,"Cependant, avec son successeur Ranieri di Toscana (it), la propriété du château fut confirmée aux moines, qui le conservèrent jusqu'au XVe siècle.",3.25
172,172,"Une troupe supplémentaire de Frisons a dû être impliquée, envoyée par Jean Ier, pour pouvoir libérer le vogt de la cité.",4.2
173,173,"À partir d’un certain niveau, plus d’énergie n’implique pas forcément une meilleure qualité de vie.",3.0
174,174,C'est l'un des résidus de pesticides retrouvés le plus souvent comme contaminant de l'eau destinée à la consommation humaine.,2.5
175,175,"Son nom est une appropriation de celui du groupe antinazi La Rose Blanche, auquel il n'a aucun rapport.",4.2
176,176,La prise en charge est effectuée par des personnels travailleurs sociaux issus de l'éducation spécialisée.,3.2
177,177,"Dans une moindre mesure, cette fonction s'observe également sous la Ve lors des périodes de cohabitation.",1.3333333333333333
178,178,"Trois prix sont proposés : prix de la meilleure nouvelle, prix du meilleur livre,  prix de la meilleure poésie.",1.4
179,179,Le vrai Nord est un terme de navigation se référant à la direction du pôle Nord géographique par rapport à la position du navigateur.,3.2
180,180,"Elle remet aussi quelques prix : la Médaille Massey, la Médaille d'Or, la Médaille Camsell et le Prix canadien de l'innovation environnementale.",2.333333333333333
181,181,"Elle marche également sur les ailes d'avions en vol en sautant en parachute ou se balance en dessous, ses genoux tenant une échelle de corde.",4.25
182,182,"Devant un risque évident ou potentiel, la perception de ce risque est-elle la même pour tous les individus ?",2.0
183,183,"Un recourbe-cils est un objet permettant de courber les cils d'un œil, qu'ils soient naturels ou faux.",2.0
184,184,"Bien documenté, se référant à une documentation précise et complète, Govdex est d'utilisation simple.",3.0
185,185,"En plus du stade principal, il y a également un stade annexe doté d’une aire d’athlétisme de six couloirs.",2.6
186,186,"Des statues du Bouddha en bronze, des plaques de terre cuite, des perles de verre et d'autres petits objets ont aussi été trouvés sur le site.",2.4
187,187,"C’est à lui de prévenir et de régler les situations de crise, et ainsi maintenir le bon ordre du groupe.",1.75
188,188,"La sculpture est installée depuis 1964 dans le jardin du Carrousel aux Tuileries, dans le 1er arrondissement de Paris.",2.4
189,189,Certains proverbes concernant des dates données peuvent s'expliquer par les conditions macro-climatiques en la période donnée.,5.0
190,190,"Le terme « chad » est souvent utilisé pour désigner une personne pour laquelle on a de l’estime, que l’on respecte, voire que l’on apprécie.",2.75
191,191,Le hasard périlleux et les confrontations violentes sont également des éléments standards d'une intrigue de thriller.,2.6666666666666665
192,192,"Le père Noël est doublé par Thierry Wermuth (Stan Marsh, Randy Marsh, Gerald Broflovski, Terrance...) dans cet épisode.",3.8
193,193,"Elle a été maire de Windhoek de novembre 2012 à décembre 2014, puis députée à l'assemblée nationale de 2015 à 2020.",2.6
194,194,"Les beakheads se trouvent dans l'architecture romane, principalement en Angleterre, Irlande, Espagne et, en France, en Anjou et Normandie.",2.1666666666666665
195,195,La liste des pays est communiquée par l'entreprise et contient plusieurs territoires non souverains.,1.8
196,196,"Il récompense l'œuvre d'un photographe qui, par sa création artistique, a contribué à enrichir le patrimoine culturel espagnol.",2.8
197,197,L’Ordre des psychologues du Québec est un ordre professionnel qui regroupe les psychologues du Québec.,2.2
198,198,"Depuis 2004, il est estimé approximativement un nombre de 30 à 50 fermetures annuelles par Ludovic Rambaud, un temps rédacteur en chef de DJ Mag.",4.0
