index,title,random_sentence,simplified,url,categories,method
27,Massey Ferguson 148,"Le Massey Ferguson 148 est un tracteur agricole produit de 1972 à 1976 par le constructeur américain de matériels agricoles, Massey Ferguson.","Le Massey Ferguson 148 est un tracteur agricole fabriqué de 1972 à 1976 par la société américaine de machines agricoles, Massey Ferguson.",fr.wikipedia.org/wiki/Massey_Ferguson_148,"Article avec une section vide ou incomplète, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Projet:Biologie/Pages liées, Tracteur agricole Massey Ferguson, Wikipédia:ébauche agriculture de mots complexes",Substitution de mots complexes
28,Platine à mèche,À la platine est fixée une pièce en « S » appelée serpentin ou serpentine sur laquelle on fixe la mèche allumée.,Sur la platine est fixée une pièce en « S » appelée serpentin ou serpentine où l'on attache la mèche allumée.,fr.wikipedia.org/wiki/Platine_%C3%A0_m%C3%A8che,"Arme à feu, Portail:Armes/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche arme, Wikipédia:ébauche histoire, Équipement militaire de l'époque moderne",Substitution de mots complexes
30,Sky lobby,"Ce n'est pas un sky lobby, car les résidents peuvent également prendre des ascenseurs vers des étages supérieurs au 44e étage.","Ce n'est pas un sky lobby, car les résidents peuvent aussi prendre des ascenseurs pour aller au-delà du 44e étage.",fr.wikipedia.org/wiki/Sky_lobby,"Article contenant un lien mort, Article manquant de références/Liste complète, Article manquant de références depuis juin 2023, Ascenseur, Portail:Architecture et urbanisme/Articles liés, Salle, Wikipédia:ébauche architecture",Substitution de mots complexes
33,Avance d'argent,L'avance d'argent est un montant payé par une partie à une autre avant tout commencement d'exécution d'une convention écrite ou verbale.,L'avance d'argent est une somme payée par une partie à une autre avant le début d'une entente écrite ou verbale.,fr.wikipedia.org/wiki/Avance_d%27argent,"Article manquant de références/Liste complète, Article manquant de références depuis juin 2016, Contrat, Document commercial, Portail:Commerce/Articles liés, Portail:Droit/Articles liés, Portail:Finance/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche droit, Wikipédia:ébauche finance",Substitution de mots complexes
42,Philosophie,"Plus précisément, les philosophies bouddhistes ne perdent jamais de vue les préoccupations sotériologiques.","Plus précisément, les philosophies bouddhistes gardent toujours à l'esprit les préoccupations sotériologiques.",fr.wikipedia.org/wiki/Philosophie,"Article avec section à recycler, Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article contenant un lien mort, Article de Wikipédia avec notice d'autorité, Article de qualité en allemand, Article de qualité en anglais, Article de qualité en croate, Article de qualité en islandais, Article de qualité en ouzbek, Article de qualité en sanskrit, Article de qualité en volapük, Article utilisant l'infobox Discipline, Article utilisant une Infobox, Article à référence nécessaire, Bon article en yoruba, Catégorie Commons avec lien local identique sur Wikidata, Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P18, Page utilisant P2184, Page utilisant P2578, Page utilisant P279, Page utilisant P3095, Page utilisant P3123, Page utilisant P3219, Page utilisant P3222, Page utilisant P3365, Page utilisant P4223, Page utilisant P4342, Page utilisant P486, Page utilisant P527, Page utilisant P6058, Page utilisant P8313, Page utilisant une frise chronologique, Philosophie, Portail:Philosophie/Articles liés, Portail:Philosophie analytique/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Éponyme d'un objet céleste",Propositions positives au lieu de négatives
43,Voie romaine Bavay-Velzeke,"Une grande partie de la voie antique est toujours praticable et accessible, le plus souvent recouverte d'asphalte.","Une grande partie de l'ancienne route est toujours praticable et accessible, souvent recouverte d'asphalte.",fr.wikipedia.org/wiki/Voie_romaine_Bavay-Velzeke,"Article utilisant une Infobox, Portail:Archéologie/Articles liés, Portail:Belgique/Articles liés, Portail:Europe/Articles liés, Portail:Géographie/Articles liés, Portail:Histoire/Articles liés, Portail:Italie/Articles liés, Portail:Monde antique/Articles liés, Portail:Rome antique/Articles liés, Portail:Route/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Transports/Articles liés, Portail:Wallonie/Articles liés, Voie romaine en Belgique, Voie romaine en France, Wikipédia:ébauche Belgique, Wikipédia:ébauche Rome antique, Wikipédia:ébauche géographie, Zottegem",Substitution de mots complexes
48,Matrilocalité,"En conséquence directe, la propriété est transmise de génération en génération, et dans l'ensemble, reste en grande partie non divisée.",La propriété est donc transmise de génération en génération et reste en grande partie non divisée.,fr.wikipedia.org/wiki/Matrilocalit%C3%A9,"Anthropologie sociale et culturelle, Article avec source à lier, Article à référence nécessaire, Mariage, Matriarcat, Portail:Anthropologie/Articles liés, Portail:Femmes/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Sociologie de la famille",Omission des mots redondants
51,Château de Badia,"Cependant, avec son successeur Ranieri di Toscana (it), la propriété du château fut confirmée aux moines, qui le conservèrent jusqu'au XVe siècle.","Mais, avec son successeur Ranieri di Toscana, la propriété du château resta aux moines, qui le gardèrent jusqu'au 15e siècle.",fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Badia,"Architecture militaire de la province de Sienne, Article contenant un appel à traduction en italien, Article de Wikipédia avec notice d'autorité, Article géolocalisé en Italie, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Catégorie Commons avec lien local différent sur Wikidata, Château de la province de Sienne, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant un modèle Bases inactif, Poggibonsi, Portail:Architecture et urbanisme/Articles liés, Portail:Châteaux/Articles liés, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Italie/Articles liés, Portail:Toscane/Articles liés, Wikipédia:ébauche Toscane",Substitution de mots complexes
54,Siège de Schoonhoven (1304),"Une troupe supplémentaire de Frisons a dû être impliquée, envoyée par Jean Ier, pour pouvoir libérer le vogt de la cité.",Jean Ier a envoyé une troupe supplémentaire de Frisons pour libérer le vogt de la cité.,fr.wikipedia.org/wiki/Si%C3%A8ge_de_Schoonhoven_(1304),"Article géolocalisé aux Pays-Bas, Article utilisant une Infobox, Bataille de 1304, Comté de Hollande, Histoire de la province de Hollande-Méridionale, Page avec des cartes, Page sans coordonnées Wikidata, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Moyen Âge/Articles liés, Portail:Moyen Âge tardif/Articles liés, Portail:Pays-Bas/Articles liés, Wikipédia:ébauche Pays-Bas, Wikipédia:ébauche bataille, Wikipédia:ébauche histoire",Formes actives au lieu de passives
60,Société à 2000 watts,"À partir d’un certain niveau, plus d’énergie n’implique pas forcément une meilleure qualité de vie.",Plus d’énergie n’implique pas forcément une meilleure qualité de vie.,fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_%C3%A0_2000_watts,"Article contenant un lien mort, Portail:Environnement/Articles liés, Portail:Europe/Articles liés, Portail:Suisse/Articles liés, Portail:Technologies/Articles liés, Portail:Énergie/Articles liés, Économie d'énergie, Énergie en Suisse",Élimination des informations non essentielles
65,Chlorothalonil-R471811,C'est l'un des résidus de pesticides retrouvés le plus souvent comme contaminant de l'eau destinée à la consommation humaine.,C'est un des pesticides les plus souvent trouvés dans l'eau potable.,fr.wikipedia.org/wiki/Chlorothalonil-R471811,"Article avec modèle CAS à vérifier, Article utilisant une Infobox, CAS manquant, Chimiebox à maintenir, Pesticide, Pollution du sol, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Portail:Botanique/Articles liés, Portail:Chimie/Articles liés, Portail:Mycologie/Articles liés, Portail:Protection des cultures/Articles liés, Portail:Sciences/Articles liés, Projet:Biologie/Pages liées, Sécurité des aliments",Suppression des clauses complexes
69,La Rose Blanche (association),"Son nom est une appropriation de celui du groupe antinazi La Rose Blanche, auquel il n'a aucun rapport.","Son nom est une appropriation de celui du groupe antinazi La Rose Blanche, sans rapport avec ce groupe.",fr.wikipedia.org/wiki/La_Rose_Blanche_(association),"Article contenant un appel à traduction en anglais, Article utilisant le modèle Dictionnaires inactif, Association ou organisme lié à la politique, Autocollant, Influenceur numérique sur Telegram, Opposition à la politique anti-Covid-19, Page pointant vers des bases externes, Page pointant vers des bases relatives à la musique, Page utilisant P1728, Page utilisant P1953, Page utilisant P3478, Page utilisant P434, Page utilisant P5882, Page utilisant P856, Page utilisant le modèle Autorité inactif, Pandémie de Covid-19 au Royaume-Uni, Portail:Années 2020/Articles liés, Portail:Associations/Articles liés, Portail:Europe/Articles liés, Portail:Maladie à coronavirus 2019/Articles liés, Portail:Maladies infectieuses/Articles liés, Portail:Médecine/Articles liés, Portail:Politique/Articles liés, Portail:Royaume-Uni/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche association, Wikipédia:ébauche politique",Propositions positives au lieu de négatives
73,Internat (établissement scolaire),La prise en charge est effectuée par des personnels travailleurs sociaux issus de l'éducation spécialisée.,Les personnels travailleurs sociaux issus de l'éducation spécialisée effectuent la prise en charge.,fr.wikipedia.org/wiki/Internat_(%C3%A9tablissement_scolaire),"Article avec une section vide ou incomplète, Article manquant de références/Liste complète, Article manquant de références depuis novembre 2017, Article à référence nécessaire, Habitat humain, Internat, Portail:Société/Articles liés, Portail:Éducation/Articles liés, Wikipédia:ébauche éducation, École",Formes actives au lieu de passives
74,Magistrature d'influence,"Dans une moindre mesure, cette fonction s'observe également sous la Ve lors des périodes de cohabitation.",Cette fonction s'observe également sous la Ve lors des périodes de cohabitation.,fr.wikipedia.org/wiki/Magistrature_d%27influence,"Droit public, Portail:Politique/Articles liés, Régime politique, Science politique, Sociologie politique, Wikipédia:ébauche droit, Wikipédia:ébauche politique",Suppression des clauses complexes
75,Prix Makomi,"Trois prix sont proposés : prix de la meilleure nouvelle, prix du meilleur livre,  prix de la meilleure poésie.","Trois prix sont proposés. Il s'agit du prix de la meilleure nouvelle, du prix du meilleur livre et du prix de la meilleure poésie.",fr.wikipedia.org/wiki/Prix_Makomi,"Article utilisant une Infobox, Culture en république démocratique du Congo, Distinction francophone, Littérature africaine, Littérature de langue française, Portail:Afrique/Articles liés, Portail:Culture/Articles liés, Portail:Langue française et francophonie/Articles liés, Portail:Langues/Articles liés, Portail:Littérature/Articles liés, Portail:République démocratique du Congo/Articles liés, Prix littéraire",Réduction de la longueur des phrases
76,Vrai Nord,Le vrai Nord est un terme de navigation se référant à la direction du pôle Nord géographique par rapport à la position du navigateur.,Le vrai Nord désigne la direction du pôle Nord géographique par rapport au navigateur.,fr.wikipedia.org/wiki/Vrai_Nord,"Arctique, Article à référence nécessaire, Cartographie, Orientation, Portail:Arctique/Articles liés, Portail:Aéronautique/Articles liés, Portail:Géographie/Articles liés, Portail:Information géographique/Articles liés, Portail:Maritime/Articles liés, Portail:Navire/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés, Portail:Voile/Articles liés, Vocabulaire général de la navigation, Vocabulaire maritime, Wikipédia:ébauche géographie",Omission des mots redondants
83,Société géographique royale du Canada,"Elle remet aussi quelques prix : la Médaille Massey, la Médaille d'Or, la Médaille Camsell et le Prix canadien de l'innovation environnementale.","Elle remet aussi quelques prix. Il s'agit de la Médaille Massey, la Médaille d'Or, la Médaille Camsell et le Prix canadien de l'innovation environnementale.",fr.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_g%C3%A9ographique_royale_du_Canada,"Article manquant de références/Liste complète, Article manquant de références depuis juin 2020, Article utilisant l'infobox Organisation, Article utilisant une Infobox, Article à illustrer Organisation, Association ou organisme ayant son siège à Ottawa, Géographie du Canada, Institution au Canada, Organisme canadien sous patronage royal, Page géolocalisable sans coordonnées paramétrées, Page utilisant P159, Page utilisant P17, Page utilisant P2813, Page utilisant P31, Page utilisant P571, Page utilisant P856, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Canada/Articles liés, Portail:Géographie/Articles liés, Société de géographie, Wikipédia:ébauche Canada, Wikipédia:ébauche association, Wikipédia:ébauche géographie",Réduction de la longueur des phrases
86,Jessie E. Woods,"Elle marche également sur les ailes d'avions en vol en sautant en parachute ou se balance en dessous, ses genoux tenant une échelle de corde.",Elle marche également sur les ailes d'avions en vol ou se balance en dessous,fr.wikipedia.org/wiki/Jessie_E._Woods,"Article orphelin/Liste complète, Article orphelin depuis novembre 2022, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec une charte sans catégorie, Article utilisant une Infobox, Article à illustrer Biographie, Article à référence souhaitée, Décès dans le comté de Barton (Kansas), Décès en mars 2001, Décès à 92 ans, Naissance en janvier 1909, Naissance à Stafford, Page utilisant P106, Page utilisant P119, Page utilisant P166, Page utilisant P27, Page utilisant des données de Wikidata à traduire de l'anglais, Personnalité de l'aéronautique, Personnalité féminine américaine, Pionnière de l'aviation, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Aéronautique/Articles liés, Portail:Biographie/Articles liés/Entreprises, Portail:Femmes/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés, Portail:États-Unis/Articles liés, Wikipédia:Article biographique",Suppression des clauses complexes
87,Individu roi,"Devant un risque évident ou potentiel, la perception de ce risque est-elle la même pour tous les individus ?",La perception d'un risque évident ou potentiel est-elle la même pour tous ?,fr.wikipedia.org/wiki/Individu_roi,"Article contenant un appel à traduction en anglais, Concept de psychologie, Parentalité, Portail:Enfance/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Portail:Éducation/Articles liés, Psychologie du développement, Wikipédia:ébauche psychologie, Wikipédia:ébauche éducation",Omission des mots redondants
90,Recourbe-cils,"Un recourbe-cils est un objet permettant de courber les cils d'un œil, qu'ils soient naturels ou faux.",Un recourbe-cils permet de courber les cils naturels ou faux.,fr.wikipedia.org/wiki/Recourbe-cils,"Article utilisant l'infobox Objet, Article utilisant une Infobox, Maquillage, Page utilisant P129, Page utilisant P186, Page utilisant P279, Portail:Biologie/Articles liés, Portail:Culture/Articles liés, Portail:Mode/Articles liés, Portail:Physiologie/Articles liés, Portail:Sciences/Articles liés, Portail:Œil et vue/Articles liés, Soin du corps, Wikipédia:ébauche mode et vêtement, Œil",Omission des mots redondants
93,Govdex,"Bien documenté, se référant à une documentation précise et complète, Govdex est d'utilisation simple.","Avec une documentation précise et complète, Govdex est d'utilisation simple.",fr.wikipedia.org/wiki/Govdex,"Administration en ligne, Internet, Politique en Australie, Portail:Australie/Articles liés, Portail:Informatique/Articles liés, Portail:Internet/Articles liés, Portail:Médias/Articles liés, Portail:Océanie/Articles liés, Portail:Politique/Articles liés, Portail:Société/Articles liés",Suppression des clauses complexes
97,Grand stade de Marrakech,"En plus du stade principal, il y a également un stade annexe doté d’une aire d’athlétisme de six couloirs.",Il y a également un stade annexe avec une aire d’athlétisme de six couloirs.,fr.wikipedia.org/wiki/Grand_stade_de_Marrakech,"Article géolocalisé au Maroc, Article utilisant l'infobox Stade, Article utilisant une Infobox, Football à Marrakech, Kawkab de Marrakech, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant des arguments dupliqués dans les appels de modèle, Portail:Afrique/Articles liés, Portail:Architecture et urbanisme/Articles liés, Portail:Athlétisme/Articles liés, Portail:Football/Articles liés, Portail:Maghreb/Articles liés, Portail:Maroc/Articles liés, Portail:Marrakech/Articles liés, Portail:Monde arabe/Articles liés, Portail:Sport/Articles liés, Stade d'athlétisme au Maroc, Stade de football au Maroc, Stade multifonction au Maroc, Stade portant le nom d'une ville, Équipement sportif achevé en 2011",Suppression des clauses complexes
99,Wat Dhammachaksemaram,"Des statues du Bouddha en bronze, des plaques de terre cuite, des perles de verre et d'autres petits objets ont aussi été trouvés sur le site.","On a aussi trouvé des statues du Bouddha en bronze, des plaques de terre cuite, des perles de verre et d'autres petits objets sur le site.",fr.wikipedia.org/wiki/Wat_Dhammachaksemaram,"657, Article géolocalisé en Thaïlande, Article utilisant l'infobox Temple bouddhiste, Article utilisant une Infobox, Catégorie Commons avec lien local identique sur Wikidata, Page avec des balises de coordonnées mal formées, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant une adresse fournie par Wikidata, Portail:Architecture et urbanisme/Articles liés, Portail:Asie/Articles liés, Portail:Bouddhisme/Articles liés, Portail:Religions et croyances/Articles liés, Portail:Thaïlande/Articles liés, Projet:Asie du Sud-Est/Articles liés, Province de Nakhon Ratchasima, Temple bouddhiste en Thaïlande, Wikipédia:ébauche Thaïlande, Wikipédia:ébauche architecture, Wikipédia:ébauche bouddhisme",Formes actives au lieu de passives
101,Animateur de formation,"C’est à lui de prévenir et de régler les situations de crise, et ainsi maintenir le bon ordre du groupe.",C’est à lui de prévenir et de régler les crises pour maintenir l'ordre du groupe.,fr.wikipedia.org/wiki/Animateur_de_formation,"Animation socioculturelle, Article manquant de références/Liste complète, Article manquant de références depuis novembre 2017, Métier de l'éducation, Portail:Société/Articles liés, Portail:Travail et métiers/Articles liés, Portail:Économie/Articles liés, Portail:Éducation/Articles liés, Wikipédia:ébauche métier",Omission des mots redondants
