index,title,sentence,simplified,url,categories,simplification_type,avg_rating_original,avg_rating_simplified
56,Hôtel de ville de Toronto,"Une grande fête est organisée à l'occasion du Nouvel An, chaque année des feux d'artifice et des concerts sont donnés sur la place adjacente.",Une grande fête est organisée pour le Nouvel An avec des feux d'artifice et des concerts sur la place adjacente.,fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_Toronto,"Architecture moderniste au Canada, Article contenant un appel à traduction en anglais, Article contenant un appel à traduction en japonais, Article géolocalisé au Canada, Article utilisant l'infobox Monument, Article utilisant une Infobox, Bâtiment de Heikki Castrén, Bâtiment de Viljo Revell, Bâtiment à Toronto, Hôtel de ville au Canada, Page avec coordonnées similaires sur Wikidata, Page avec des cartes, Page utilisant P149, Page utilisant P1619, Page utilisant P2048, Page utilisant P361, Page utilisant P631, Page utilisant P856, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Architecture et urbanisme/Articles liés, Portail:Canada/Articles liés, Portail:Ontario/Articles liés, Portail:Toronto/Articles liés, Wikipédia:ébauche Toronto, Wikipédia:ébauche architecture",Omission des mots redondants,2.2,1.4
57,Terre d'Oscar II,"Découverte en 1892 par Carl Anton Larsen à bord du Jason, elle a été nommée en l'honneur d'Oscar II, roi de Suède de 1872 à 1907 et de Norvège de 1872 à 1905.","Découverte en 1892 par Carl Anton Larsen, elle a été nommée en l'honneur d'Oscar II, roi de Suède et de Norvège.",fr.wikipedia.org/wiki/Terre_d%27Oscar_II,"Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article géolocalisé en Norvège, Article utilisant l'infobox Localité, Article utilisant une Infobox, Géographie du Spitzberg, Page avec des cartes, Page géolocalisée par Wikidata, Page utilisant P138, Page utilisant P17, Page utilisant P2716, Page utilisant P31, Page utilisant P610, Page utilisant P706, Page utilisant des données de Wikidata à traduire de l'anglais, Portail:Arctique/Articles liés, Portail:Europe/Articles liés, Portail:Norvège/Articles liés, Territoire au Svalbard, Wikipédia:ébauche Norvège, Wikipédia:ébauche géographie",Élimination des informations non essentielles,4.4,2.6
58,Autohébergement (informatique),Le premier compilateur auto-hébergé (si l'on exclut les assembleurs) a été écrit pour le Lisp par Hart et Levin au Massachusetts Institute of Technology (MIT) en 1962.,"En 1962, Hart et Levin ont écrit le premier compilateur auto-hébergé (si l'on exclut les assembleurs) pour le Lisp au Massachusetts Institute of Technology (MIT).",fr.wikipedia.org/wiki/Autoh%C3%A9bergement_(informatique),"Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Programmation informatique",Formes actives au lieu de passives,3.0,2.6
59,Liste des objets artificiels sur Mars,"La liste suivante n'inclut pas les plus petits objets comme les ressorts, les fragments, les parachutes ou les boucliers thermiques.","La liste suivante exclut les plus petits objets comme les ressorts, les fragments, les parachutes ou les boucliers thermiques.",fr.wikipedia.org/wiki/Liste_des_objets_artificiels_sur_Mars,"Article de qualité en allemand, Exploration du système martien, Liste en rapport avec l'astronautique, Liste en rapport avec l'astronomie, Portail:Astronautique/Articles liés, Portail:Astronomie/Articles liés, Portail:Mars/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences de la Terre et de l'Univers/Articles liés, Portail:Système solaire/Articles liés, Portail:Technologies/Articles liés, Portail:Transports/Articles liés",Propositions positives au lieu de négatives,1.0,1.4
60,Schéma fonctionnel,"En fiabilité, le schéma fonctionnel permet de représenter les systèmes complexes, c'est-à-dire ayant plusieurs possibilités de défaillance.","En fiabilité, le schéma fonctionnel montre les systèmes compliqués, avec plusieurs façons de tomber en panne.",fr.wikipedia.org/wiki/Sch%C3%A9ma_fonctionnel,"Génie chimique, Portail:Chimie/Articles liés, Portail:Sciences/Articles liés, Régulation, Sûreté de fonctionnement",Substitution de mots complexes,2.4,1.4
61,Recherche d'information,"L'utilisateur étant à l'origine du besoin en information, il est apparu nécessaire de compléter la simple requête par des informations supplémentaires en provenance de l'utilisateur.","Puisque l'utilisateur a besoin d'information, il était nécessaire de compléter la requête par des informations supplémentaires de l'utilisateur.",fr.wikipedia.org/wiki/Recherche_d%27information,"Article de Wikipédia avec notice d'autorité, Article manquant de références/Liste complète, Article manquant de références depuis mars 2010, Article à référence nécessaire, Informatique théorique, Page pointant vers des bases externes, Page pointant vers des bases relatives à la santé, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant P4342, Page utilisant P486, Page utilisant P8313, Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences de l'information et des bibliothèques/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Technologies/Articles liés, Recherche d'information, Traitement automatique du langage naturel",Substitution de mots complexes,3.0,2.4
62,Jeux du Val-de-Marne,Les Jeux du Val-de-Marne sont une compétition omnisports créée en 1967 par le Conseil général et qui se déroule chaque année dans le département du Val-de-Marne.,"Les Jeux du Val-de-Marne, compétition omnisports créée en 1967 par le Conseil général, se déroulent chaque année dans le département du Val-de-Marne.",fr.wikipedia.org/wiki/Jeux_du_Val-de-Marne,"Association française fondée en 1967, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Sport/Articles liés, Portail:Val-de-Marne/Articles liés, Portail:Île-de-France/Articles liés, Wikipédia:ébauche sport, Événement sportif dans le Val-de-Marne",Transformation des propositions relatives,2.8,2.4
63,Peba,"Le peba est une langue amérindienne de la famille des langues peba-yaguanes parlée en Amazonie péruvienne, dans la région de Loreto.","Le peba est une langue amérindienne de la famille peba-yaguane. Elle est parlée en Amazonie péruvienne, dans la région de Loreto.",fr.wikipedia.org/wiki/Peba,"Article utilisant une Infobox, Article à illustrer Langue, Inventaire de langues, Inventaire de langues amérindiennes, Langue amérindienne au Pérou, Langue amérindienne en Amérique du Sud, Langue peba-yaguane, Portail:Amérique/Articles liés, Portail:Amérique du Sud/Articles liés, Portail:Amérique précolombienne/Articles liés, Portail:Histoire/Articles liés, Portail:Langues/Articles liés, Portail:Langues/Articles liés directement, Portail:Monde antique/Articles liés, Portail:Pérou/Articles liés, Portail:Société/Articles liés, Wikipédia:ébauche langue",Réduction de la longueur des phrases,2.8,2.8
64,Capteur plan,Un capteur plan est un appareil qui permet d'obtenir instantanément une image radiologique numérique lors de la prise d'une radiographie.,Un capteur plan est un appareil permettant d'obtenir instantanément une image radiologique numérique lors d'une radiographie.,fr.wikipedia.org/wiki/Capteur_plan,"Détecteur de rayonnement ionisant, Physique médicale, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Physique/Articles liés, Portail:Sciences/Articles liés, Radiologie, Wikipédia:ébauche médecine, Wikipédia:ébauche physique, Wikipédia:ébauche technique",Transformation des propositions relatives,3.0,2.2
65,Isométrataxie,L’isométrataxie est l'incapacité à maintenir une force musculaire constante durant une performance manuelle comme la préhension.,L’isométrataxie est la difficulté à garder une force musculaire stable pendant une activité manuelle comme tenir quelque chose.,fr.wikipedia.org/wiki/Isom%C3%A9trataxie,"Ataxie, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Signe clinique en neurologie, Wikipédia:ébauche médecine",Substitution de mots complexes,3.0,1.75
66,Courbe de Lissajous,L'artiste dadaïste Max Ernst a peint des courbes de Lissajous directement en suspendant un pot de peinture percé au-dessus du canevas.,L'artiste dadaïste Max Ernst a peint des courbes de Lissajous en suspendant un pot de peinture percé au-dessus du canevas.,fr.wikipedia.org/wiki/Courbe_de_Lissajous,"Article avec source à lier, Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article manquant de références/Liste complète, Article manquant de références depuis avril 2012, Article à référence souhaitée, Article à vérifier/mathématiques, Catégorie Commons avec lien local identique sur Wikidata, Courbe, Page pointant vers des bases externes, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P1417, Page utilisant un modèle Bases inactif, Portail:Géométrie/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Électricité et électronique/Articles liés, Projet:Mathématiques/Articles, Wikipédia:ébauche mathématiques",Omission des mots redondants,2.2,2.2
67,Lupus érythémateux d'origine médicamenteuse,"En effet, les processus biologiques exacts qui se produisent sont inconnus, même 50 ans après sa découverte, mais de nombreuses études présentent des théories sur les mécanismes du lupus médicamenteux.","Les processus biologiques exacts restent inconnus même 50 ans après sa découverte, mais de nombreuses études présentent des théories sur les mécanismes du lupus médicamenteux.",fr.wikipedia.org/wiki/Lupus_%C3%A9ryth%C3%A9mateux_d%27origine_m%C3%A9dicamenteuse,"Article utilisant une Infobox, Article à référence nécessaire, Image locale différente de celle de Wikidata, Immunologie, Maladie auto-immune, Page utilisant P1995, Page utilisant P493, Page utilisant P494, Page utilisant P667, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Projet:Médecine/Infobox Maladie dont l'image est à vérifier",Transformation des propositions relatives,2.8,2.0
68,Perception du risque,"Certaines configurations de l'environnement (par exemple, une falaise au-dessus de la mer) peuvent provoquer des situations dangereuses (par exemple le fait de se trouver en hauteur au-dessus de la mer).","Certaines configurations de l'environnement, comme une falaise au-dessus de la mer, peuvent provoquer des situations dangereuses, comme se trouver en hauteur au-dessus de la mer.",fr.wikipedia.org/wiki/Perception_du_risque,"Article manquant de références/Liste complète, Article manquant de références depuis décembre 2014, Gestion des risques, Perception, Portail:Politique/Articles liés, Portail:Psychologie/Articles liés, Portail:Sciences/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Risque, Wikipédia:ébauche politique, Wikipédia:ébauche psychologie, Wikipédia:ébauche économie",Éviter les parenthèses et les incises,1.3333333333333333,2.333333333333333
69,Réduction des perturbations électromagnétiques dans les chaînes de conversion de l'énergie électrique,"Néanmoins, l’effet de la fréquence de commutation sur les valeurs des éléments de filtrage n’a pas été évoqué dans son travail.","Néanmoins, son travail n'a pas évoqué l'effet de la fréquence de commutation sur les valeurs des éléments de filtrage.",fr.wikipedia.org/wiki/R%C3%A9duction_des_perturbations_%C3%A9lectromagn%C3%A9tiques_dans_les_cha%C3%AEnes_de_conversion_de_l%27%C3%A9nergie_%C3%A9lectrique,"Compatibilité électromagnétique, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:Électricité et électronique/Articles liés, Portail:Énergie/Articles liés, Rédaction à améliorer, Électronique de puissance",Formes actives au lieu de passives,3.4,2.4
70,Moteur de workflow,Un moteur de workflow est un dispositif logiciel permettant d'exécuter des instances de workflow (l'enchaînement des activités décrit par la définition de processus de workflow).,Un moteur de workflow est un dispositif logiciel permettant d'exécuter des instances de workflow.,fr.wikipedia.org/wiki/Moteur_de_workflow,"Article manquant de références/Liste complète, Article manquant de références depuis mars 2023, Logiciel de gestion de projets, Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Wikipédia:ébauche informatique, Workflow",Éviter les parenthèses et les incises,4.4,2.8
71,Type énuméré,"Un exemple typique est la représentation de cartes à jouer ordinaires : la suite (""couleur"") ainsi que la hauteur (nombre ou figure) de la carte peuvent être représentés par des énumérations.",Un exemple typique est la représentation de cartes à jouer ordinaires : la suite ('couleur') et la hauteur (nombre ou figure) peuvent être représentées par des énumérations.,fr.wikipedia.org/wiki/Type_%C3%A9num%C3%A9r%C3%A9,"Article avec une section vide ou incomplète, Article contenant un appel à traduction en anglais, Article à référence nécessaire, Portail:Informatique/Articles liés, Portail:Programmation informatique/Articles liés, Programmation informatique, Wikipédia:ébauche informatique",Transformation des propositions relatives,3.0,2.4
72,Basophile,"Dans le champ de l'écologie, le terme « basophile » désigne des organismes qui se développent exclusivement dans un environnement qui contient des substances qui lui confèrent une certaine alcalinité.","Dans le champ de l'écologie, le terme « basophile » désigne des organismes se développant exclusivement dans un environnement contenant des substances alcalines.",fr.wikipedia.org/wiki/Basophile,"Portail:Biologie/Articles liés, Portail:Environnement/Articles liés, Portail:Médecine/Articles liés, Portail:Sciences/Articles liés, Portail:Écologie/Articles liés, Projet:Biologie/Pages liées, Terme médical",Transformation des propositions relatives,4.6,3.6
73,Marketing automation,"Au niveau mondial, il existe de nombreux logiciels d’envoi de masse de courrier électronique et de gestion de la relation client B2C, dont Brevo, Klaviyo, Sarbacane, Mailchimp, etc.",Il existe des logiciels d’envoi de courrier électronique et de gestion de la relation client B2C.,fr.wikipedia.org/wiki/Marketing_automation,"Article contenant un appel à traduction en anglais, Article manquant de références/Liste complète, Article manquant de références depuis janvier 2015, Automation, Marketing, Portail:Management/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Wikipédia:ébauche management",Élimination des informations non essentielles,2.6,1.4
74,1984 en informatique,"Le congrès des États-Unis vote le Semiconductor Chip Protection Act, une loi qui protège juridiquement les schémas électroniques.","Le congrès des États-Unis vote le Semiconductor Chip Protection Act, une loi protégeant juridiquement les schémas électroniques.",fr.wikipedia.org/wiki/1984_en_informatique,"1984, Article utilisant une Infobox, Chronologie de l'informatique, Portail:Années 1980/Articles liés, Portail:Histoire/Articles liés, Portail:Informatique/Articles liés, Portail:Sciences/Articles liés, Portail:Technologies/Articles liés, Portail:XXe siècle/Articles liés, Portail:Époque contemporaine/Articles liés, Wikipédia:ébauche informatique",Transformation des propositions relatives,2.0,2.0
75,Littérature de la Restauration anglaise,"Mais en réalité, le Parfait Pêcheur à la ligne, tout comme le Voyage du pèlerin, cherche avant tout à guider l'individu au sens large plutôt que le simple amateur de pêche.",Le Parfait Pêcheur à la ligne cherche avant tout à guider l'individu.,fr.wikipedia.org/wiki/Litt%C3%A9rature_de_la_Restauration_anglaise,"Article avec source à lier, Article de qualité en espagnol, Article à référence souhaitée, Histoire de la littérature, Littérature britannique, Littérature de langue anglaise, Littérature du XVIIe siècle, Portail:Europe/Articles liés, Portail:Histoire/Articles liés, Portail:Littérature/Articles liés, Portail:Littérature britannique/Articles liés, Portail:Royaume-Uni/Articles liés, Restauration anglaise",Élimination des informations non essentielles,3.6,1.6
76,Biologie de synthèse,"Certains biologistes, tels Hugo de Vries, suggèrent de contrôler et de diriger les mécanismes de l'évolution en laboratoire pour créer de nouvelles formes de vie présentant des propriétés nouvelles.",Certains biologistes suggèrent de contrôler l'évolution en laboratoire pour créer de nouvelles formes de vie.,fr.wikipedia.org/wiki/Biologie_de_synth%C3%A8se,"Article contenant un appel à traduction en anglais, Article à référence nécessaire, Bio-informatique, Biotechnologie, Discipline de la biologie, Génétique, Portail:Biologie/Articles liés, Portail:Biologie cellulaire et moléculaire/Articles liés, Projet:Biologie/Pages liées, Technologie émergente",Élimination des informations non essentielles,3.4,1.6
77,Commercialisation des produits agricoles,"Une commercialisation efficace implique l’apprentissage de nouvelles compétences, de nouvelles techniques et de nouveaux modes d’obtention de l’information.","Une commercialisation efficace implique l’apprentissage de compétences, techniques et modes d’obtention de l’information.",fr.wikipedia.org/wiki/Commercialisation_des_produits_agricoles,"Agriculture, Agroalimentaire, Article utilisant le modèle Dictionnaires inactif, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Agriculture et agronomie/Articles liés, Portail:Biologie/Articles liés, Portail:Commerce/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Projet:Biologie/Pages liées, Type de commerces",Élimination des informations non essentielles,2.4,2.4
78,Straight-through processing,"Straight-through processing (STP) est un principe de traitement des opérations au fil de l'eau, c'est-à-dire sans rupture ou sans délai (littéralement : ""traitement tout droit à travers"").","Straight-through processing est un principe de traitement des opérations au fil de l'eau, sans rupture ou délai.",fr.wikipedia.org/wiki/Straight-through_processing,"Application de l'informatique, Article manquant de références/Liste complète, Article manquant de références depuis juin 2019, Finance de marché, Portail:Finance/Articles liés, Portail:Société/Articles liés, Portail:Économie/Articles liés, Système de paiement",Éviter les parenthèses et les incises,3.4,1.4
79,Henri Batiffol,"Le premier se fait aux États-Unis (1935-1936), durant lequel, en tant que Rockefeller Fellow, il enseigne dans les différentes universités que sont Harvard, Northwestern, Chicago et Berkeley.","Le premier séjour se déroule aux États-Unis (1935-1936). En tant que Rockefeller Fellow, il enseigne à Harvard, Northwestern, Chicago et Berkeley.",fr.wikipedia.org/wiki/Henri_Batiffol,"Agrégé de droit privé et de sciences criminelles, Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2, Article utilisant l'infobox Biographie2 avec la charte juriste, Article utilisant une Infobox, Article à référence nécessaire, Commandeur de l'ordre d'Orange-Nassau, Commandeur de l'ordre national du Mérite, Docteur en droit, Docteur honoris causa de l'université catholique de Louvain, Docteur honoris causa de l'université de Gand, Docteur honoris causa de l'université de Vienne, Droit comparé, Décès en novembre 1989, Décès à 84 ans, Décès à Neuilly-sur-Seine, Juriste français, Lauréat du concours général, Membre de l'Académie des sciences morales et politiques, Naissance dans le 7e arrondissement de Paris, Naissance en février 1905, Officier de la Légion d'honneur (date non précisée), Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P106, Page utilisant P108, Page utilisant P166, Page utilisant P184, Page utilisant P19, Page utilisant P22, Page utilisant P27, Page utilisant P2732, Page utilisant P463, Page utilisant P569, Page utilisant P570, Page utilisant P69, Page utilisant P737, Page utilisant P7902, Portail:Biographie/Articles liés/Culture et arts, Portail:Biographie/Articles liés/Entreprises, Portail:Droit/Articles liés, Portail:Droit français/Articles liés, Portail:Europe/Articles liés, Portail:France/Articles liés, Portail:Relations internationales/Articles liés, Portail:Société/Articles liés, Portail:Université/Articles liés, Portail:Éducation/Articles liés, Professeur français de droit international, Professeur français de droit privé, Professeur à l'université Panthéon-Assas, Professeur à l'université de Lille, Professeur à la faculté de droit de Paris, Secrétaire de la Conférence du stage des avocats aux conseils, Wikipédia:Article biographique, Étudiant de la faculté de droit de Paris",Réduction de la longueur des phrases,3.25,2.0
80,Carlo Cattaneo (mathématicien),"Carlo Cattaneo (1911-1979) est un mathématicien et physicien italien connu pour ses travaux en physique statistique, en mécanique des milieux continus et en relativité générale.","Carlo Cattaneo (1911-1979) est un mathématicien et physicien italien. Il est connu pour ses travaux en physique statistique, en mécanique des milieux continus et en relativité générale.",fr.wikipedia.org/wiki/Carlo_Cattaneo_(math%C3%A9maticien),"Article contenant un appel à traduction en anglais, Article de Wikipédia avec notice d'autorité, Article utilisant l'infobox Biographie2 avec la charte mathématiques, Article utilisant une Infobox, Article utilisant une Infobox en Lua, Décès en mars 1979, Décès à 67 ans, Décès à Rome, Mathématicien italien du XXe siècle, Naissance dans la province de Plaisance, Naissance en octobre 1911, Page pointant vers des bases externes, Page pointant vers des bases relatives à la recherche, Page pointant vers des dictionnaires ou encyclopédies généralistes, Page utilisant P106, Page utilisant P108, Page utilisant P166, Page utilisant P18, Page utilisant P184, Page utilisant P1986, Page utilisant P26, Page utilisant P3365, Page utilisant P463, Page utilisant P549, Page utilisant P69, Physicien italien du XXe siècle, Physique statistique, Portail:Biographie/Articles liés/Sciences, Portail:Europe/Articles liés, Portail:Italie/Articles liés, Portail:Mathématiques/Articles liés, Portail:Physique/Articles liés, Portail:Sciences/Articles liés, Professeur à l'université de Pise, Projet:Mathématiques/Articles, Relativité, Wikipédia:Article biographique",Réduction de la longueur des phrases,1.2,1.0
81,Ganirelix,"Il agit en bloquant les récepteurs de cette dernière, ce qui diminue la LH et arrête donc l'ovulation jusqu'à ce qu'elle soit souhaitée.","Il agit en bloquant les récepteurs de cette dernière, diminuant ainsi la LH et arrêtant l'ovulation jusqu'à ce qu'elle soit souhaitée.",fr.wikipedia.org/wiki/Ganirelix,"Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Hormone sexuelle, Page pointant vers des bases externes, Page pointant vers des bases relatives à la santé, Page utilisant P1748, Page utilisant P2115, Page utilisant P486, Page utilisant P592, Page utilisant P715, Page utilisant le modèle Autorité inactif, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Pharmacie/Articles liés, Portail:Sciences/Articles liés",Transformation des propositions relatives,2.6,1.8
82,Voxeurop,"Avec ""Voxeurop services"", le journal étend ses activités éditoriales en proposant des services éditoriaux sur-mesure et une traduction multilingue vers toutes les langues européennes.","Avec ""Voxeurop services"", le journal élargit ses activités en offrant des services personnalisés et une traduction dans toutes les langues européennes.",fr.wikipedia.org/wiki/Voxeurop,"Article contenant un appel à traduction en anglais, Article utilisant l'infobox Organisation, Article utilisant le modèle Dictionnaires inactif, Article utilisant une Infobox, Article à illustrer Organisation, Coopérative de droit français, Entreprise de l'économie sociale, Média Internet, Média de l'Union européenne, Média en Europe, Média multilingue, Page géolocalisable sans coordonnées paramétrées, Page utilisant P155, Page utilisant P17, Page utilisant P2770, Page utilisant P31, Page utilisant P571, Page utilisant P856, Page utilisant le modèle Autorité inactif, Page utilisant un modèle Bases inactif, Portail:Europe/Articles liés, Portail:Informatique/Articles liés, Portail:Internet/Articles liés, Portail:Journalisme/Articles liés, Portail:Médias/Articles liés, Portail:Société/Articles liés, Portail:Union européenne/Articles liés, Presse en ligne, Presse en ligne en France, Pure player, Site web d'actualité, Site web lancé en 2014, Société coopérative d'intérêt collectif",Substitution de mots complexes,2.8,1.8
83,Broken Obelisk,"Elle représente un obélisque renversé, dont le sommet repose sur un piédestal pyramidal et dont le pied, pointé vers le haut, est brisé.","Elle représente un obélisque renversé avec le sommet reposant sur un piédestal pyramidal et le pied, pointé vers le haut, brisé.",fr.wikipedia.org/wiki/Broken_Obelisk,"Article utilisant l'infobox Monument, Article utilisant une Infobox, Page géolocalisable sans coordonnées paramétrées, Page pointant vers des bases externes, Page pointant vers des bases relatives aux beaux-arts, Page utilisant P170, Page utilisant P2014, Page utilisant P31, Portail:Arts/Articles liés, Portail:Sculpture/Articles liés, Sculpture des années 1960, Wikipédia:ébauche sculpture",Transformation des propositions relatives,2.333333333333333,2.6666666666666665
84,Cour des comptes (Côte d'Ivoire),"Elle a remplacé la chambre des comptes de la Cour suprême, qui a été dissoute en 1998 et dont sont également issus la Cour de cassation et le Conseil d'État.","Elle a remplacé la chambre des comptes de la Cour suprême, que le gouvernement a dissoute en 1998, et dont proviennent également la Cour de cassation et le Conseil d'État.",fr.wikipedia.org/wiki/Cour_des_comptes_(C%C3%B4te_d%27Ivoire),"Abidjan, Contrôle des comptes publics, Institution ivoirienne, Justice administrative, Portail:Côte d'Ivoire/Articles liés, Portail:Droit/Articles liés, Portail:Société/Articles liés, Tribunal en Côte d'Ivoire, Wikipédia:ébauche droit",Formes actives au lieu de passives,3.4,2.8
85,Closed shop,"L’Employment Act de 1990 a aboli strictement le closed shop, jugé attentatoire à la liberté de ne pas se syndiquer, garantie par la Charte sociale européenne.","L’Employment Act de 1990 a aboli strictement le closed shop. Ce système était jugé contraire à la liberté de ne pas se syndiquer, garantie par la Charte sociale européenne.",fr.wikipedia.org/wiki/Closed_shop,"Portail:Droit/Articles liés, Portail:Politique/Articles liés, Portail:Société/Articles liés, Portail:Syndicalisme/Articles liés, Syndicalisme, Terme syndical",Réduction de la longueur des phrases,2.4,1.2
86,Réacteur C1W,"Le compartiment réacteur mesure quant à lui 38 pieds de long (soit environ 11,5 mètres), 42 pieds de profondeur (soit environ 12,8 mètres), 37 de large (soit environ 11,3 mètres) et pèse 2 250 tonnes.","Le compartiment réacteur mesure 38 pieds de long, 42 pieds de profondeur, 37 de large et pèse 2 250 tonnes.",fr.wikipedia.org/wiki/R%C3%A9acteur_C1W,"Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Forces armées des États-Unis/Articles liés, Portail:Histoire militaire/Articles liés, Portail:Maritime/Articles liés, Portail:Nucléaire/Articles liés, Portail:Technologies/Articles liés, Portail:Énergie/Articles liés, Portail:États-Unis/Articles liés, Réacteur nucléaire de l'United States Navy, Wikipédia:ébauche Forces armées des États-Unis, Wikipédia:ébauche mer, Wikipédia:ébauche nucléaire, Wikipédia:ébauche énergie",Éviter les parenthèses et les incises,3.5,1.25
87,Chaleur (sensation),"De même, on appelle aussi de petits boutons qui viennent sur le visage, des chaleurs de soie, parce qu’elles viennent d'un sang échauffé : c'est l'éruption miliaire chez les bébés.","De petits boutons sur le visage sont appelés chaleurs de soie, car ils viennent d'un sang échauffé : c'est l'éruption miliaire chez les bébés.",fr.wikipedia.org/wiki/Chaleur_(sensation),"Perception, Physiologie humaine, Portail:Biologie/Articles liés, Portail:Médecine/Articles liés, Portail:Neurosciences/Articles liés, Portail:Sciences/Articles liés, Projet:Biologie/Pages liées",Élimination des informations non essentielles,3.2,2.6
88,Small press,La dénomination est souvent employée en lieu et place de independent press(es) ou indie press(es) (« éditeur indépendant »).,La dénomination est souvent employée en lieu et place de independent press(es) ou indie press(es).,fr.wikipedia.org/wiki/Small_press,"Page utilisant P5395, Portail:Médias/Articles liés, Portail:Presse écrite/Articles liés, Presse écrite, Wikipédia:ébauche presse écrite, Édition",Éviter les parenthèses et les incises,3.4,2.4
89,Concentration bactéricide minimale,"La CBM est identifiée en déterminant la concentration la plus faible d'agent antibactérien qui réduit la viabilité de l'inoculum bactérien initial à un niveau supérieur ou égal à 99,9%.","La CBM est identifiée en déterminant la concentration la plus faible d'agent antibactérien réduisant la viabilité de l'inoculum bactérien initial à un niveau supérieur ou égal à 99,9%.",fr.wikipedia.org/wiki/Concentration_bact%C3%A9ricide_minimale,"Microbiologie, Portail:Biologie/Articles liés, Portail:Microbiologie/Articles liés, Projet:Biologie/Pages liées",Transformation des propositions relatives,3.6666666666666665,2.333333333333333
90,District de Riaba,"Le district de Riaba (en espagnol : distrito de Riaba) est un district de Guinée équatoriale, constitué par la partie orientale de la province de Bioko-Sur, sur l'île de Bioko.","Le district de Riaba est un district de Guinée équatoriale, constitué par la partie orientale de la province de Bioko-Sur, sur l'île de Bioko.",fr.wikipedia.org/wiki/District_de_Riaba,"Article géolocalisé en Guinée équatoriale, Article utilisant une Infobox, Article à illustrer Subdivision administrative, District en Guinée équatoriale, Infobox Subdivision administrative - Page faisant un appel direct au modèle, Page avec des cartes, Page géolocalisée par Wikidata, Portail:Afrique/Articles liés, Portail:Guinée équatoriale/Articles liés, Portail:Géographie/Articles liés, Portail:Lusophonie/Articles liés, Wikipédia:ébauche Guinée équatoriale, Wikipédia:ébauche géographie",Éviter les parenthèses et les incises,4.0,3.0
91,Ethnolinguistique,"L'ethnolinguistique selon ce premier paradigme vise à décrire, définir des typologies permettant de classer et de comparer les différentes langues.","L'ethnolinguistique, selon ce premier paradigme, vise à décrire et définir des typologies. Ces typologies permettent de classer et de comparer les différentes langues.",fr.wikipedia.org/wiki/Ethnolinguistique,"Anthropologie linguistique, Portail:Anthropologie/Articles liés, Portail:Linguistique/Articles liés, Portail:Sciences humaines et sociales/Articles liés, Portail:Sociologie/Articles liés, Portail:Société/Articles liés, Sociolinguistique, Wikipédia:ébauche linguistique, Wikipédia:ébauche sociologie",Réduction de la longueur des phrases,2.6,1.4
92,Filmographie de Sylvester Stallone,"Cette page indique la filmographie complète de Sylvester Stallone, aussi bien au cinéma qu'à la télévision puis à la fois comme acteur, réalisateur, producteur et scénariste.","Cette page montre la filmographie complète de Sylvester Stallone, au cinéma et à la télévision, comme acteur, réalisateur, producteur et scénariste.",fr.wikipedia.org/wiki/Filmographie_de_Sylvester_Stallone,"Article avec une section vide ou incomplète, Filmographie, Portail:Amérique/Articles liés, Portail:Amérique du Nord/Articles liés, Portail:Cinéma/Articles liés, Portail:Cinéma américain/Articles liés, Portail:Culture américaine/Articles liés, Portail:Médias/Articles liés, Portail:Télévision/Articles liés, Portail:États-Unis/Articles liés",Omission des mots redondants,3.4,1.4
